Name,Weight
田福堂,629
孙玉亭,569
孙少平,473
田福军,446
孙少安,419
田晓霞,418
孙玉厚,277
金俊武,275
金波,217
郝红梅,209
兰香,193
金俊山,161
徐治功,158
王满银,156
顾养民,145
兰花,129
张有智,125
金光亮,114
李登云,112
冯世宽,109
苗凯,103
刘玉升,91
徐国强,89
金俊文,86
金秀,81
乔伯年,73
田海民,72
白明川,68
叶姐,64
武惠良,64
安锁子,62
胡永合,61
丽丽,60
侯玉英,59
金强,59
惠英嫂,57
田二,55
刘根民,54
吴月琴,51
吴斌,50
